"TV","Radio","Newspaper","Sales","Market"
265.6,20,0.3,17.4,"Urban"
69,9.3,0.9,9.3,"Rural"
8.6,2.1,1,4.8,"Rural"
184.9,43.9,1.7,20.7,"SubUrban"
293.6,27.7,1.8,20.7,"Urban"
8.4,27.2,2.1,5.7,"Rural"
31.5,24.6,2.2,9.5,"Rural"
175.7,15.4,2.4,14.1,"Urban"
220.3,49,3.2,24.7,"SubUrban"
100.4,9.6,3.6,10.7,"Rural"
166.8,42,3.6,19.6,"SubUrban"
286,13.9,3.7,15.9,"Urban"
214.7,24,4,17.4,"Urban"
266.9,43.8,5,25.4,"SubUrban"
238.2,34.3,5.3,20.7,"Urban"
117.2,14.7,5.4,11.9,"Urban"
255.4,26.9,5.5,19.8,"Urban"
4.1,11.6,5.7,3.2,"Rural"
39.5,41.1,5.8,10.8,"Rural"
197.6,3.5,5.9,11.7,"Urban"
75.5,10.8,6,9.9,"Rural"
149.7,35.6,6,17.3,"Urban"
284.3,10.6,6.4,15,"Urban"
177,9.3,6.4,12.8,"Urban"
97.5,7.6,7.2,9.7,"Rural"
95.7,1.4,7.4,9.5,"Rural"
163.5,36.8,7.4,18,"Urban"
94.2,4.9,8.1,9.7,"Rural"
156.6,2.6,8.3,10.5,"Urban"
102.7,29.6,8.4,14,"Rural"
290.7,4.1,8.5,12.8,"Urban"
48.3,47,8.5,11.6,"Rural"
0.7,39.6,8.7,1.6,"Rural"
240.1,7.3,8.7,13.2,"Urban"
232.1,8.6,8.7,13.4,"Urban"
140.3,1.9,9,10.3,"Urban"
80.2,0,9.2,8.8,"Rural"
210.7,29.5,9.3,18.4,"Urban"
134.3,4.9,9.3,11.2,"Urban"
25.6,39,9.3,9.5,"Rural"
5.4,29.9,9.4,5.3,"Rural"
187.8,21.1,9.5,15.6,"Urban"
139.3,14.5,10.2,13.4,"Urban"
209.6,20.6,10.7,15.9,"Urban"
107.4,14,10.9,11.5,"Rural"
237.4,27.5,11,18.9,"Urban"
120.2,19.6,11.6,13.2,"Urban"
38,40.3,11.9,10.9,"Rural"
123.1,34.6,12.4,15.2,"Urban"
142.9,29.3,12.6,15,"Urban"
168.4,7.1,12.8,11.7,"Urban"
73.4,17,12.9,10.9,"Rural"
213.4,24.6,13.1,17,"Urban"
222.4,3.4,13.1,11.5,"Urban"
38.2,3.7,13.8,7.6,"Rural"
120.5,28.5,14.2,14.2,"Urban"
197.6,23.3,14.2,16.6,"Urban"
76.4,0.8,14.8,9.4,"Rural"
224,2.4,15.6,11.6,"Urban"
262.7,28.8,15.9,20.2,"Urban"
76.3,27.5,16,12,"Rural"
136.2,19.2,16.6,13.2,"Urban"
19.6,20.1,17,7.6,"Rural"
165.6,10,17.6,12.6,"Urban"
187.9,17.2,17.9,14.7,"Urban"
191.1,28.7,18.2,17.3,"Urban"
69.2,20.5,18.3,11.3,"Rural"
62.3,12.6,18.3,9.7,"Rural"
50,11.6,18.4,8.4,"Rural"
239.9,41.5,18.5,23.2,"SubUrban"
147.3,23.9,19.1,14.6,"Urban"
26.8,33,19.3,8.8,"Rural"
206.8,5.2,19.4,12.2,"Urban"
262.9,3.5,19.5,12,"Urban"
205,45.1,19.6,22.6,"SubUrban"
248.4,30.2,20.3,20.2,"SubUrban"
43,25.9,20.5,9.6,"Rural"
44.7,25.8,20.6,10.1,"Rural"
27.5,1.6,20.7,6.9,"Rural"
199.8,2.6,21.2,10.6,"Urban"
53.5,2,21.4,8.1,"Rural"
280.2,10.1,21.4,14.8,"Urban"
17.9,37.6,21.6,8,"Rural"
184.9,21,22,15.5,"Urban"
76.4,26.7,22.3,11.8,"Rural"
19.4,16,22.3,6.6,"Rural"
240.1,16.7,22.9,15.9,"Urban"
248.8,27.1,22.9,18.9,"Urban"
116,7.7,23.1,11,"Rural"
90.4,0.3,23.2,8.7,"Rural"
241.7,38,23.2,21.8,"SubUrban"
18.7,12.1,23.4,6.7,"Rural"
57.5,32.8,23.5,11.8,"Rural"
237.4,5.1,23.5,12.5,"Urban"
276.7,2.3,23.7,11.8,"Urban"
66.1,5.8,24.2,8.6,"Rural"
149.8,1.3,24.3,10.1,"Urban"
13.1,0.4,25.6,5.3,"Rural"
139.2,14.3,25.6,12.2,"Urban"
188.4,18.1,25.6,14.9,"Urban"
87.2,11.8,25.9,10.6,"Rural"
228.3,16.9,26.2,15.5,"Urban"
206.9,8.4,26.4,12.9,"Urban"
139.5,2.1,26.6,10.3,"Urban"
216.8,43.9,27.2,22.3,"SubUrban"
239.3,15.5,27.3,15.7,"Urban"
