"Year","Gender","Caucasian","Age","Age_Cat","Inc_Cat","Education","Wrk_Stat","Dwelling","Own_Rent","Electronics","Percrip_Med","Drn_Clnr","Dsps_Food"
2010,"Female","Caucasian",83,"65 or older","Between $25,000 and 50,000","Associates Degree","Retired","Apartment or Condo","Rent",NA,1,4,2
2010,"Female","Caucasian",36,"35 to 44","Between $25,000 and 50,000","Some college","Employed","Apartment or Condo","Own",4,4,4,1
2010,"Male","Person of Color",71,"65 or older","Between $25,000 and 50,000","Some college","Retired","Mobile Home","Own",4,2,4,1
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,2
2010,"Female","Caucasian",74,"65 or older","Between $25,000 and 50,000","Some college","Retired","Apartment or Condo","Rent",4,4,4,2
2010,"Female","Caucasian",44,"45 to 54","Between $75,000 and $100,000","Associates Degree","Student","Single Family house","Own",NA,NA,4,4
2010,"Male","Caucasian",72,"65 or older","Less than $25,000","Associates Degree","Retired","Apartment or Condo","Rent",2,2,4,2
2010,"Male","Caucasian",83,"65 or older","Between $75,000 and $100,000","Graduate degree(s)","Retired","Single Family house","Own",4,2,4,2
2010,"Female","Caucasian",24,"25 to 34","Less than $25,000","Some college","Employed","Apartment or Condo","Rent",4,2,4,1
2010,"Female","Caucasian",48,"45 to 54","Between $50,000 and $75,000","High school diploma / GED","Employed","Single Family house","Own",NA,NA,4,3
2010,"Female","Caucasian",35,"35 to 44","Between $75,000 and $100,000","High school diploma / GED","Employed","Single Family house","Own",4,4,4,3
2010,"Male","Caucasian",75,"65 or older","Between $50,000 and $75,000","Bachelor's Degree","Retired","Single Family house","Own",4,1,4,3
2010,"Female","Caucasian",67,"65 or older","Between $25,000 and 50,000","Bachelor's Degree","Employed","Single Family house","Own",4,2,4,3
2010,"Female","Caucasian",45,"45 to 54","Less than $25,000","Associates Degree","Other","Apartment or Condo","Rent",2,2,4,2
2010,"Female","Caucasian",75,"65 or older",NA,"Some college","Retired","Single Family house","Own",4,NA,4,2
2010,"Male","Caucasian",65,"65 or older","Between $25,000 and 50,000","Graduate degree(s)","Retired","Single Family house","Own",4,NA,4,3
2010,"Male","Caucasian",67,"65 or older","Between $75,000 and $100,000","Associates Degree","Retired","Mobile Home","Own",NA,NA,4,1
2010,"Male",NA,66,"65 or older",NA,"Bachelor's Degree",NA,"Single Family house","Own",4,2,4,3
2010,"Female","Caucasian",83,"65 or older","Between $25,000 and 50,000","Some college","Retired","Single Family house","Own",4,4,4,3
2010,"Female","Caucasian",85,"65 or older","Between $50,000 and $75,000","Some college","Retired","Single Family house","Own",4,NA,4,2
2010,"Male","Person of Color",63,"55 to 64","Between $25,000 and 50,000","Some college","Employed","Mobile Home","Own",4,4,4,1
2010,"Female","Caucasian",81,"65 or older","Between $25,000 and 50,000","Some graduate work","Retired","Single Family house","Own",4,1,4,3
2010,"Male","Caucasian",74,"65 or older","Between $50,000 and $75,000","Bachelor's Degree","Retired","Single Family house","Own",NA,NA,NA,1
2010,"Male","Caucasian",70,"65 or older","Between $25,000 and 50,000","Some graduate work","Retired","Apartment or Condo","Rent",NA,2,NA,2
2010,"Female","Person of Color",34,"35 to 44","Between $50,000 and $75,000","Some college","Employed","Apartment or Condo","Rent",4,2,4,4
2010,"Male","Caucasian",46,"45 to 54","Between $25,000 and 50,000","Some college","Employed","Mobile Home","Own",4,NA,4,1
2010,"Female","Caucasian",49,"45 to 54","Less than $25,000","Associates Degree","Other","Apartment or Condo","Rent",NA,2,4,2
2010,"Male","Caucasian",62,"55 to 64","Between $75,000 and $100,000","Some college","Employed","Single Family house","Own",4,2,4,2
2010,"Female","Caucasian",49,"45 to 54","Between $50,000 and $75,000","Associates Degree","Employed","Apartment or Condo","Own",4,2,4,1
2010,"Female","Caucasian",77,"65 or older",NA,"High school diploma / GED","Retired","Apartment or Condo","Rent",4,1,4,3
2010,"Male","Caucasian",76,"65 or older","$100,000 or more","Graduate degree(s)","Retired","Single Family house","Own",4,NA,4,2
2010,"Male","Person of Color",31,"25 to 34","Less than $25,000","Some college","Other","Apartment or Condo","Rent",4,2,2,1
2010,"Female","Caucasian",41,"35 to 44","$100,000 or more","Associates Degree","Employed","Single Family house","Own",4,2,4,3
2010,"Female","Caucasian",50,"45 to 54","Between $75,000 and $100,000","Some college","Employed","Single Family house","Own",NA,1,4,3
2010,"Male","Person of Color",63,"55 to 64","Between $75,000 and $100,000","High school diploma / GED","Other","Single Family house","Own",4,4,4,3
2010,"Male","Person of Color",31,"25 to 34","Less than $25,000","High school diploma / GED","Other","Apartment or Condo","Rent",4,2,4,2
2010,"Female","Caucasian",71,"65 or older","Between $25,000 and 50,000","High school diploma / GED","Employed","Mobile Home","Own",4,NA,4,2
2010,"Male","Caucasian",66,"65 or older","Between $50,000 and $75,000","Some college","Retired","Apartment or Condo","Rent",NA,NA,4,2
2010,"Male","Caucasian",64,"65 or older",NA,"Bachelor's Degree","Retired","Apartment or Condo","Own",4,2,4,2
2010,"Female","Caucasian",90,"65 or older","Less than $25,000","Some college","Retired","Single Family house","Own",4,2,4,3
2010,"Male","Caucasian",81,"65 or older","Between $25,000 and 50,000","Some college","Employed","Mobile Home","Own",4,2,1,3
2010,"Male","Caucasian",75,"65 or older","Between $25,000 and 50,000","Some graduate work","Employed","Mobile Home",NA,4,1,4,2
2010,"Female","Caucasian",81,"65 or older","Between $25,000 and 50,000","High school diploma / GED","Other","Apartment or Condo","Own",4,4,4,1
2010,"Female","Person of Color",76,"65 or older","Less than $25,000","Some college","Retired","Mobile Home","Own",4,1,4,2
2010,"Female","Caucasian",71,"65 or older","Less than $25,000","Associates Degree","Retired","Apartment or Condo","Rent",4,2,4,4
2010,"Female","Person of Color",50,"45 to 54","Less than $25,000","High school diploma / GED","Other","Apartment or Condo","Rent",4,2,NA,NA
2010,"Male","Caucasian",41,"35 to 44","Between $50,000 and $75,000","Graduate degree(s)","Employed","Single Family house","Own",4,NA,4,4
2010,"Male","Caucasian",57,"55 to 64","Between $50,000 and $75,000","Bachelor's Degree","Employed","Single Family house","Own",4,2,NA,3
2010,"Female","Person of Color",37,"35 to 44","Less than $25,000","Non-high school graduate","Employed","Mobile Home","Own",4,NA,NA,2
2010,"Male",NA,25,"25 to 34","Less than $25,000","Some college","Employed","Apartment or Condo","Rent",NA,2,NA,1
2010,"Male",NA,54,"55 to 64","Between $75,000 and $100,000","Bachelor's Degree","Employed","Single Family house","Own",4,NA,4,2
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,1
2010,"Female","Caucasian",28,"25 to 34","Between $25,000 and 50,000","High school diploma / GED","Other","Single Family house","Own",4,NA,4,1
2010,"Female",NA,30,"25 to 34","Less than $25,000","Some college","Other","Apartment or Condo","Rent",4,1,4,3
2010,"Male","Caucasian",78,"65 or older","Less than $25,000","Bachelor's Degree","Retired","Mobile Home","Own",NA,NA,4,2
